id,nome,microrregiao,regiao-imediata
3500105,Adamantina,"{'id': 35035, 'nome': 'Adamantina', 'mesorregiao': {'id': 3508, 'nome': 'Presidente Prudente', 'UF': {'id': 35, 'sigla': 'SP', 'nome': 'São Paulo', 'regiao': {'id': 3, 'sigla': 'SE', 'nome': 'Sudeste'}}}}","{'id': 350019, 'nome': 'Adamantina - Lucélia', 'regiao-intermediaria': {'id': 3505, 'nome': 'Presidente Prudente', 'UF': {'id': 35, 'sigla': 'SP', 'nome': 'São Paulo', 'regiao': {'id': 3, 'sigla': 'SE', 'nome': 'Sudeste'}}}}"
3500204,Adolfo,"{'id': 35004, 'nome': 'São José do Rio Preto', 'mesorregiao': {'id': 3501, 'nome': 'São José do Rio Preto', 'UF': {'id': 35, 'sigla': 'SP', 'nome': 'São Paulo', 'regiao': {'id': 3, 'sigla': 'SE', 'nome': 'Sudeste'}}}}","{'id': 350025, 'nome': 'São José do Rio Preto', 'regiao-intermediaria': {'id': 3507, 'nome': 'São José do Rio Preto', 'UF': {'id': 35, 'sigla': 'SP', 'nome': 'São Paulo', 'regiao': {'id': 3, 'sigla': 'SE', 'nome': 'Sudeste'}}}}"
3500303,Aguaí,"{'id': 35029, 'nome': 'Pirassununga', 'mesorregiao': {'id': 3507, 'nome': 'Campinas', 'UF': {'id': 35, 'sigla': 'SP', 'nome': 'São Paulo', 'regiao': {'id': 3, 'sigla': 'SE', 'nome': 'Sudeste'}}}}","{'id': 350044, 'nome': 'São João da Boa Vista', 'regiao-intermediaria': {'id': 3510, 'nome': 'Campinas', 'UF': {'id': 35, 'sigla': 'SP', 'nome': 'São Paulo', 'regiao': {'id': 3, 'sigla': 'SE', 'nome': 'Sudeste'}}}}"
3500402,Águas da Prata,"{'id': 35030, 'nome': 'São João da Boa Vista', 'mesorregiao': {'id': 3507, 'nome': 'Campinas', 'UF': {'id': 35, 'sigla': 'SP', 'nome': 'São Paulo', 'regiao': {'id': 3, 'sigla': 'SE', 'nome': 'Sudeste'}}}}","{'id': 350044, 'nome': 'São João da Boa Vista', 'regiao-intermediaria': {'id': 3510, 'nome': 'Campinas', 'UF': {'id': 35, 'sigla': 'SP', 'nome': 'São Paulo', 'regiao': {'id': 3, 'sigla': 'SE', 'nome': 'Sudeste'}}}}"
3500501,Águas de Lindóia,"{'id': 35033, 'nome': 'Amparo', 'mesorregiao': {'id': 3507, 'nome': 'Campinas', 'UF': {'id': 35, 'sigla': 'SP', 'nome': 'São Paulo', 'regiao': {'id': 3, 'sigla': 'SE', 'nome': 'Sudeste'}}}}","{'id': 350048, 'nome': 'Amparo', 'regiao-intermediaria': {'id': 3510, 'nome': 'Campinas', 'UF': {'id': 35, 'sigla': 'SP', 'nome': 'São Paulo', 'regiao': {'id': 3, 'sigla': 'SE', 'nome': 'Sudeste'}}}}"
3500550,Águas de Santa Bárbara,"{'id': 35022, 'nome': 'Avaré', 'mesorregiao': {'id': 3504, 'nome': 'Bauru', 'UF': {'id': 35, 'sigla': 'SP', 'nome': 'São Paulo', 'regiao': {'id': 3, 'sigla': 'SE', 'nome': 'Sudeste'}}}}","{'id': 350007, 'nome': 'Avaré', 'regiao-intermediaria': {'id': 3502, 'nome': 'Sorocaba', 'UF': {'id': 35, 'sigla': 'SP', 'nome': 'São Paulo', 'regiao': {'id': 3, 'sigla': 'SE', 'nome': 'Sudeste'}}}}"
3500600,Águas de São Pedro,"{'id': 35028, 'nome': 'Piracicaba', 'mesorregiao': {'id': 3506, 'nome': 'Piracicaba', 'UF': {'id': 35, 'sigla': 'SP', 'nome': 'São Paulo', 'regiao': {'id': 3, 'sigla': 'SE', 'nome': 'Sudeste'}}}}","{'id': 350040, 'nome': 'Piracicaba', 'regiao-intermediaria': {'id': 3510, 'nome': 'Campinas', 'UF': {'id': 35, 'sigla': 'SP', 'nome': 'São Paulo', 'regiao': {'id': 3, 'sigla': 'SE', 'nome': 'Sudeste'}}}}"
3500709,Agudos,"{'id': 35020, 'nome': 'Bauru', 'mesorregiao': {'id': 3504, 'nome': 'Bauru', 'UF': {'id': 35, 'sigla': 'SP', 'nome': 'São Paulo', 'regiao': {'id': 3, 'sigla': 'SE', 'nome': 'Sudeste'}}}}","{'id': 350009, 'nome': 'Bauru', 'regiao-intermediaria': {'id': 3503, 'nome': 'Bauru', 'UF': {'id': 35, 'sigla': 'SP', 'nome': 'São Paulo', 'regiao': {'id': 3, 'sigla': 'SE', 'nome': 'Sudeste'}}}}"
3500758,Alambari,"{'id': 35042, 'nome': 'Itapetininga', 'mesorregiao': {'id': 3511, 'nome': 'Itapetininga', 'UF': {'id': 35, 'sigla': 'SP', 'nome': 'São Paulo', 'regiao': {'id': 3, 'sigla': 'SE', 'nome': 'Sudeste'}}}}","{'id': 350006, 'nome': 'Itapetininga', 'regiao-intermediaria': {'id': 3502, 'nome': 'Sorocaba', 'UF': {'id': 35, 'sigla': 'SP', 'nome': 'São Paulo', 'regiao': {'id': 3, 'sigla': 'SE', 'nome': 'Sudeste'}}}}"
3500808,Alfredo Marcondes,"{'id': 35036, 'nome': 'Presidente Prudente', 'mesorregiao': {'id': 3508, 'nome': 'Presidente Prudente', 'UF': {'id': 35, 'sigla': 'SP', 'nome': 'São Paulo', 'regiao': {'id': 3, 'sigla': 'SE', 'nome': 'Sudeste'}}}}","{'id': 350018, 'nome': 'Presidente Prudente', 'regiao-intermediaria': {'id': 3505, 'nome': 'Presidente Prudente', 'UF': {'id': 35, 'sigla': 'SP', 'nome': 'São Paulo', 'regiao': {'id': 3, 'sigla': 'SE', 'nome': 'Sudeste'}}}}"
