NC,NN,MC,MN,V,D1C,D1N,D2C,Sexo,D3C,Trimestre,D4C,Cor_Raca,Rendimento
1,Brasil,1572,Mil pessoas,211440,1,Brasil,202304,4º trimestre 2023,606,População,95251,Total,211440.0
1,Brasil,2,%,0.0,1,Brasil,202304,4º trimestre 2023,6541,Coeficiente de variação - População,95251,Total,0.0
1,Brasil,2,%,100.0,1,Brasil,202304,4º trimestre 2023,608,Percentual da população,95251,Total,100.0
1,Brasil,2,%,-,1,Brasil,202304,4º trimestre 2023,6542,Coeficiente de variação - Percentual da população,95251,Total,
1,Brasil,1572,Mil pessoas,211665,1,Brasil,202401,1º trimestre 2024,606,População,95251,Total,211665.0
1,Brasil,2,%,0.0,1,Brasil,202401,1º trimestre 2024,6541,Coeficiente de variação - População,95251,Total,0.0
1,Brasil,2,%,100.0,1,Brasil,202401,1º trimestre 2024,608,Percentual da população,95251,Total,100.0
1,Brasil,2,%,-,1,Brasil,202401,1º trimestre 2024,6542,Coeficiente de variação - Percentual da população,95251,Total,
1,Brasil,1572,Mil pessoas,211882,1,Brasil,202402,2º trimestre 2024,606,População,95251,Total,211882.0
1,Brasil,2,%,0.0,1,Brasil,202402,2º trimestre 2024,6541,Coeficiente de variação - População,95251,Total,0.0
1,Brasil,2,%,100.0,1,Brasil,202402,2º trimestre 2024,608,Percentual da população,95251,Total,100.0
1,Brasil,2,%,-,1,Brasil,202402,2º trimestre 2024,6542,Coeficiente de variação - Percentual da população,95251,Total,
1,Brasil,1572,Mil pessoas,212100,1,Brasil,202403,3º trimestre 2024,606,População,95251,Total,212100.0
1,Brasil,2,%,0.0,1,Brasil,202403,3º trimestre 2024,6541,Coeficiente de variação - População,95251,Total,0.0
1,Brasil,2,%,100.0,1,Brasil,202403,3º trimestre 2024,608,Percentual da população,95251,Total,100.0
1,Brasil,2,%,-,1,Brasil,202403,3º trimestre 2024,6542,Coeficiente de variação - Percentual da população,95251,Total,
1,Brasil,1572,Mil pessoas,212314,1,Brasil,202404,4º trimestre 2024,606,População,95251,Total,212314.0
1,Brasil,2,%,0.0,1,Brasil,202404,4º trimestre 2024,6541,Coeficiente de variação - População,95251,Total,0.0
1,Brasil,2,%,100.0,1,Brasil,202404,4º trimestre 2024,608,Percentual da população,95251,Total,100.0
1,Brasil,2,%,-,1,Brasil,202404,4º trimestre 2024,6542,Coeficiente de variação - Percentual da população,95251,Total,
1,Brasil,1572,Mil pessoas,212525,1,Brasil,202501,1º trimestre 2025,606,População,95251,Total,212525.0
1,Brasil,2,%,0.0,1,Brasil,202501,1º trimestre 2025,6541,Coeficiente de variação - População,95251,Total,0.0
1,Brasil,2,%,100.0,1,Brasil,202501,1º trimestre 2025,608,Percentual da população,95251,Total,100.0
1,Brasil,2,%,-,1,Brasil,202501,1º trimestre 2025,6542,Coeficiente de variação - Percentual da população,95251,Total,
1,Brasil,1572,Mil pessoas,212726,1,Brasil,202502,2º trimestre 2025,606,População,95251,Total,212726.0
1,Brasil,2,%,0.0,1,Brasil,202502,2º trimestre 2025,6541,Coeficiente de variação - População,95251,Total,0.0
1,Brasil,2,%,100.0,1,Brasil,202502,2º trimestre 2025,608,Percentual da população,95251,Total,100.0
1,Brasil,2,%,-,1,Brasil,202502,2º trimestre 2025,6542,Coeficiente de variação - Percentual da população,95251,Total,
1,Brasil,1572,Mil pessoas,212930,1,Brasil,202503,3º trimestre 2025,606,População,95251,Total,212930.0
1,Brasil,2,%,0.0,1,Brasil,202503,3º trimestre 2025,6541,Coeficiente de variação - População,95251,Total,0.0
1,Brasil,2,%,100.0,1,Brasil,202503,3º trimestre 2025,608,Percentual da população,95251,Total,100.0
1,Brasil,2,%,-,1,Brasil,202503,3º trimestre 2025,6542,Coeficiente de variação - Percentual da população,95251,Total,
