NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Trimestre (Código),Trimestre,Variável (Código),Variável,Grupamento de atividade no trabalho principal (Código),Grupamento de atividade no trabalho principal
1,Brasil,1572,Mil pessoas,99062,1,Brasil,202304,4º trimestre 2023,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,47946,Total
1,Brasil,2,%,0.2,1,Brasil,202304,4º trimestre 2023,4091,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,47946,Total
1,Brasil,2,%,100.0,1,Brasil,202304,4º trimestre 2023,4108,Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,47946,Total
1,Brasil,2,%,-,1,Brasil,202304,4º trimestre 2023,4109,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,47946,Total
1,Brasil,1572,Mil pessoas,98290,1,Brasil,202401,1º trimestre 2024,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,47946,Total
1,Brasil,2,%,0.2,1,Brasil,202401,1º trimestre 2024,4091,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,47946,Total
1,Brasil,2,%,100.0,1,Brasil,202401,1º trimestre 2024,4108,Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,47946,Total
1,Brasil,2,%,-,1,Brasil,202401,1º trimestre 2024,4109,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,47946,Total
1,Brasil,1572,Mil pessoas,99883,1,Brasil,202402,2º trimestre 2024,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,47946,Total
1,Brasil,2,%,0.2,1,Brasil,202402,2º trimestre 2024,4091,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,47946,Total
1,Brasil,2,%,100.0,1,Brasil,202402,2º trimestre 2024,4108,Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,47946,Total
1,Brasil,2,%,-,1,Brasil,202402,2º trimestre 2024,4109,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,47946,Total
1,Brasil,1572,Mil pessoas,101058,1,Brasil,202403,3º trimestre 2024,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,47946,Total
1,Brasil,2,%,0.2,1,Brasil,202403,3º trimestre 2024,4091,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,47946,Total
1,Brasil,2,%,100.0,1,Brasil,202403,3º trimestre 2024,4108,Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,47946,Total
1,Brasil,2,%,-,1,Brasil,202403,3º trimestre 2024,4109,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,47946,Total
1,Brasil,1572,Mil pessoas,101832,1,Brasil,202404,4º trimestre 2024,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,47946,Total
1,Brasil,2,%,0.2,1,Brasil,202404,4º trimestre 2024,4091,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,47946,Total
1,Brasil,2,%,100.0,1,Brasil,202404,4º trimestre 2024,4108,Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,47946,Total
1,Brasil,2,%,-,1,Brasil,202404,4º trimestre 2024,4109,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,47946,Total
1,Brasil,1572,Mil pessoas,100511,1,Brasil,202501,1º trimestre 2025,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,47946,Total
1,Brasil,2,%,0.2,1,Brasil,202501,1º trimestre 2025,4091,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,47946,Total
1,Brasil,2,%,100.0,1,Brasil,202501,1º trimestre 2025,4108,Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,47946,Total
1,Brasil,2,%,-,1,Brasil,202501,1º trimestre 2025,4109,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,47946,Total
